Recycle_Weight 
13440
5900
2160
280
6340
2000
17920
9360
2420
2760
2460
5360
7100
17680
11460
3020
460
8540
5360
15260
5440
2140
2780
5220
5340
3660
14420
7020
420
1140
5640
3140
16820
5260
3580
4920
3240
14580
6760
2520
160
4480
3000
15160
3840
1700
1620
3220
4920
2340
13880
5580
3000
220
4520
3640
14340
4940
3780
1640
3260
4720
3460
10760
4860
2100
740
4060
3080
18560
4680
1100
1000
2120
5740
2860
11100
4880
2420
1000
5800
2880
12200
6140
1580
920
2760
5160
2260
16300
4700
1880
1200
5160
3800
11620
4380
3180
880
3240
4200
4200
14940
5560
1760
1000
4840
2840
9100
4700
1920
840
3100
4300
2620
15140
5620
1940
1120
6860
3080
14160
4500
2360
1360
1940
4660
3180
15340
6340
1900
1060
1900
4900
2900
14260
5100
1760
1120
460
4440
2960
11760
6080
1720
960
4160
2800
15300
6040
2660
1100
2720
6720
3140
14180
5160
1560
1100
1320
4340
3100
14740
6220
2160
1220
1360
5200
3260
15680
5960
2000
1120
7140
2720
13720
6200
1560
4780
2880
16860
4980
560
1980
2920
4540
2540
15560
5680
3380
1360
900
5000
3240
11700
5760
2000
1060
3900
3180
14720
6020
1780
1580
3200
4840
2820
15280
6500
1980
1100
4560
2680
13160
5840
2760
1240
740
4680
2220
14740
6520
2080
960
3220
4700
3740
12940
6700
3260
1340
560
6540
600
14920
5460
1760
1460
2720
4980
2900
13040
4780
2140
800
400
5000
2800
13380
4800
5220
1060
2240
4900
2640
13820
4960
1860
1040
440
4500
2720
16700
4780
2300
1000
2520
6440
580
12000
4880
2020
920
1860
6520
540
9680
4900
1360
600
4320
2240
14820
4840
1800
1180
1280
5080
2740
10180
5740
2520
1000
540
5600
2780
13400
5960
2000
1420
2420
4980
2580
12400
4920
1860
1320
380
4760
2400
7920
920
460
2320
9560
4060
520
2380
3420
2840
18180
14800
4320
2420
3040
9560
5540
10480
4460
2480
5580
13480
15600
2400
2180
6700
10780
14980
10680
4080
5320
840
7500
5360
16940
8500
760
2240
9140
5580
14060
7820
3040
2400
800
5320
3100
12980
5380
1360
1240
3040
4380
3080
12160
4780
1820
1000
440
4640
3040
12940
4600
1520
1140
2460
5820
3080
10140
4480
1540
1040
520
5380
2500
13620
6820
2800
960
2320
4620
2880
13540
5340
3300
920
1820
5020
3240
10380
5160
1600
3380
1100
4940
2920
10040
4480
1600
1180
4020
2660
14000
5980
2120
880
1080
4800
3000
11360
4220
1500
1280
1360
4320
2660
12920
4500
1280
1280
1340
4080
2300
12240
4220
2100
2300
4700
1980
10720
6240
1920
940
960
4060
2880
8640
3880
2180
740
1520
3220
2520
8500
5940
1340
1060
4700
2120
12480
5700
1860
1240
2280
4460
3380
9580
4700
1280
1160
1300
4900
2080
10700
3980
1500
740
1360
4160
2700
11580
5180
1540
820
1760
3420
1920
9280
3520
1760
4320
2360
12900
6280
5640
1640
1960
4440
2660
9540
3580
1640
900
1460
4320
2840
8220
3760
1960
1060
1660
4320
2580
15940
9780
1960
1420
4520
2300
11000
3500
1860
940
1520
4460
3040
9980
6980
2100
920
1580
4060
2600
11340
4140
1860
920
1240
2780
2500
